Radius(m)	Temperature(K)
1560800	100
1560700	101.73
1560600	103.46
1560500	105.19
1560400	106.92
1560300	108.65
1560200	110.38
1560100	112.11
1560000	113.84
1559900	115.57
1559800	117.3
1559700	119.03
1559600	120.76
1559500	122.49
1559400	124.22
1559300	125.95
1559200	127.68
1559100	129.41
1559000	131.14
1558900	132.87
1558800	134.6
1558700	136.33
1558600	138.06
1558500	139.79
1558400	141.52
1558300	143.25
1558200	144.98
1558100	146.71
1558000	148.44
1557900	150.17
1557800	151.9
1557700	153.63
1557600	155.36
1557500	157.09
1557400	158.82
1557300	160.55
1557200	162.28
1557100	164.01
1557000	165.74
1556900	167.47
1556800	169.2
1556700	170.93
1556600	172.66
1556500	174.39
1556400	176.12
1556300	177.85
1556200	179.58
1556100	181.31
1556000	183.04
1555900	184.77
1555800	186.5
1555700	188.23
1555600	189.96
1555500	191.69
1555400	193.42
1555300	195.15
1555200	196.88
1555100	198.61
1555000	200.34
1554900	202.07
1554800	203.8
1554700	205.53
1554600	207.26
1554500	208.99
1554400	210.72
1554300	212.45
1554200	214.18
1554100	215.91
1554000	217.64
1553900	219.37
1553800	221.1
1553700	222.83
1553600	224.56
1553500	226.29
1553400	228.02
1553300	229.75
1553200	231.48
1553100	233.21
1553000	234.94
1552900	236.67
1552800	238.4
1552700	240.13
1552600	241.86
1552500	243.59
1552400	245.32
1552300	247.05
1552200	248.78
1552100	250.51
1552000	252.24
1551900	253.97
1551800	255.7
1551700	257.43
1551600	259.16
1551500	260.89
1551400	262.62
1551300	264.35
1551200	266.08
1551100	267.81
1551000	269.54
1550900	271.27
1550800	273.15
