Radius(m)	Temperature(K)
1560800	103.15
1560700	104.85
1560600	106.55
1560500	108.25
1560400	109.95
1560300	111.65
1560200	113.35
1560100	115.05
1560000	116.75
1559900	118.45
1559800	120.15
1559700	121.85
1559600	123.55
1559500	125.25
1559400	126.95
1559300	128.65
1559200	130.35
1559100	132.05
1559000	133.75
1558900	135.45
1558800	137.15
1558700	138.85
1558600	140.55
1558500	142.25
1558400	143.95
1558300	145.65
1558200	147.35
1558100	149.05
1558000	150.75
1557900	152.45
1557800	154.15
1557700	155.85
1557600	157.55
1557500	159.25
1557400	160.95
1557300	162.65
1557200	164.35
1557100	166.05
1557000	167.75
1556900	169.45
1556800	171.15
1556700	172.85
1556600	174.55
1556500	176.25
1556400	177.95
1556300	179.65
1556200	181.35
1556100	183.05
1556000	184.75
1555900	186.45
1555800	188.15
1555700	189.85
1555600	191.55
1555500	193.25
1555400	194.95
1555300	196.65
1555200	198.35
1555100	200.05
1555000	201.75
1554900	203.45
1554800	205.15
1554700	206.85
1554600	208.55
1554500	210.25
1554400	211.95
1554300	213.65
1554200	215.35
1554100	217.05
1554000	218.75
1553900	220.45
1553800	222.15
1553700	223.85
1553600	225.55
1553500	227.25
1553400	228.95
1553300	230.65
1553200	232.35
1553100	234.05
1553000	235.75
1552900	237.45
1552800	239.15
1552700	240.85
1552600	242.55
1552500	244.25
1552400	245.95
1552300	247.65
1552200	249.35
1552100	251.05
1552000	252.75
1551900	254.45
1551800	256.15
1551700	257.85
1551600	259.55
1551500	261.25
1551400	262.95
1551300	264.65
1551200	266.35
1551100	268.05
1551000	269.75
1550900	271.45
1550800	273.15
