Radius(m)	Temperature(K)
1560800	103.15
1560750	105.5785714
1560700	108.0071428
1560650	110.4357142
1560600	112.8642856
1560550	115.292857
1560500	117.7214284
1560450	120.1499998
1560400	122.5785712
1560350	125.0071426
1560300	127.435714
1560250	129.8642854
1560200	132.2928568
1560150	134.7214282
1560100	137.1499996
1560050	139.578571
1560000	142.0071424
1559950	144.4357138
1559900	146.8642852
1559850	149.2928566
1559800	151.721428
1559750	154.1499994
1559700	156.5785708
1559650	159.0071422
1559600	161.4357136
1559550	163.864285
1559500	166.2928564
1559450	168.7214278
1559400	171.1499992
1559350	173.5785706
1559300	176.007142
1559250	178.4357134
1559200	180.8642848
1559150	183.2928562
1559100	185.7214276
1559050	188.149999
1559000	190.5785704
1558950	193.0071418
1558900	195.4357132
1558850	197.8642846
1558800	200.292856
1558750	202.7214274
1558700	205.1499988
1558650	207.5785702
1558600	210.0071416
1558550	212.435713
1558500	214.8642844
1558450	217.2928558
1558400	219.7214272
1558350	222.1499986
1558300	224.57857
1558250	227.0071414
1558200	229.4357128
1558150	231.8642842
1558100	234.2928556
1558050	236.721427
1558000	239.1499984
1557950	241.5785698
1557900	244.0071412
1557850	246.4357126
1557800	248.864284
1557750	251.2928554
1557700	253.7214268
1557650	256.1499982
1557600	258.5785696
1557550	261.007141
1557500	263.4357124
1557450	265.8642838
1557400	268.2928552
1557350	270.7214266
1557300	273.149998
