Radius(m)	Temperature (K)
1560800	100
1560700	107
1560600	114
1560500	121
1560400	128
1560300	135
1560200	142
1560100	149
1560000	156
1559900	163
1559800	170
1559700	177
1559600	184
1559500	191
1559400	198
1559300	205
1559200	212
1559100	219
1559000	226
1558900	233
1558800	240
1558700	240.1176471
1558600	240.2352941
1558500	240.3529412
1558400	240.4705882
1558300	240.5882353
1558200	240.7058824
1558100	240.8235294
1558000	240.9411765
1557900	241.0588235
1557800	241.1764706
1557700	241.2941176
1557600	241.4117647
1557500	241.5294118
1557400	241.6470588
1557300	241.7647059
1557200	241.8823529
1557100	242
1557000	242.1176471
1556900	242.2352941
1556800	242.3529412
1556700	242.4705882
1556600	242.5882353
1556500	242.7058824
1556400	242.8235294
1556300	242.9411765
1556200	243.0588235
1556100	243.1764706
1556000	243.2941177
1555900	243.4117647
1555800	243.5294118
1555700	243.6470588
1555600	243.7647059
1555500	243.8823529
1555400	244
1555300	244.1176471
1555200	244.2352941
1555100	244.3529412
1555000	244.4705882
1554900	244.5882353
1554800	244.7058824
1554700	244.8235294
1554600	244.9411765
1554500	245.0588235
1554400	245.1764706
1554300	245.2941177
1554200	245.4117647
1554100	245.5294118
1554000	245.6470588
1553900	245.7647059
1553800	245.882353
1553700	246
1553600	246.1176471
1553500	246.2352941
1553400	246.3529412
1553300	246.4705882
1553200	246.5882353
1553100	246.7058824
1553000	246.8235294
1552900	246.9411765
1552800	247.0588235
1552700	247.1764706
1552600	247.2941177
1552500	247.4117647
1552400	247.5294118
1552300	247.6470588
1552200	247.7647059
1552100	247.882353
1552000	248
1551900	248.1176471
1551800	248.2352941
1551700	248.3529412
1551600	248.4705882
1551500	248.5882353
1551400	248.7058824
1551300	248.8235294
1551200	248.9411765
1551100	249.0588235
1551000	249.1764706
1550900	249.2941177
1550800	249.4117647
1550700	249.5294118
1550600	249.6470588
1550500	249.7647059
1550400	249.882353
1550300	250
1550200	250.1176471
1550100	250.2352941
1550000	250.3529412
1549900	250.4705883
1549800	250.5882353
1549700	250.7058824
1549600	250.8235294
1549500	250.9411765
1549400	251.0588235
1549300	251.1764706
1549200	251.2941177
1549100	251.4117647
1549000	251.5294118
1548900	251.6470588
1548800	251.7647059
1548700	251.882353
1548600	252
1548500	252.1176471
1548400	252.2352941
1548300	252.3529412
1548200	252.4705883
1548100	252.5882353
1548000	252.7058824
1547900	252.8235294
1547800	252.9411765
1547700	253.0588235
1547600	253.1764706
1547500	253.2941177
1547400	253.4117647
1547300	253.5294118
1547200	253.6470588
1547100	253.7647059
1547000	253.882353
1546900	254
1546800	254.1176471
1546700	254.2352941
1546600	254.3529412
1546500	254.4705883
1546400	254.5882353
1546300	254.7058824
1546200	254.8235294
1546100	254.9411765
1546000	255.0588236
1545900	255.1764706
1545800	255.2941177
1545700	255.4117647
1545600	255.5294118
1545500	255.6470588
1545400	255.7647059
1545300	255.882353
1545200	256
1545100	256.1176471
1545000	256.2352941
1544900	256.3529412
1544800	256.4705883
1544700	256.5882353
1544600	256.7058824
1544500	256.8235294
1544400	256.9411765
1544300	257.0588236
1544200	257.1764706
1544100	257.2941177
1544000	257.4117647
1543900	257.5294118
1543800	257.6470589
1543700	257.7647059
1543600	257.882353
1543500	258
1543400	258.1176471
1543300	258.2352941
1543200	258.3529412
1543100	258.4705883
1543000	258.5882353
1542900	258.7058824
1542800	258.8235294
1542700	258.9411765
1542600	259.0588236
1542500	259.1764706
1542400	259.2941177
1542300	259.4117647
1542200	259.5294118
1542100	259.6470589
1542000	259.7647059
1541900	259.882353
1541800	260
1541700	261.3
1541600	262.6
1541500	263.9
1541400	265.2
1541300	266.5
1541200	267.8
1541100	269.1
1541000	270.4
1540900	271.7
1540800	273
