Radius(m)	Temperature(K)
1560800	100
1560700	114
1560600	128
1560500	142
1560400	156
1560300	170
1560200	184
1560100	198
1560000	212
1559900	226
1559800	240
1559700	240.825
1559600	241.65
1559500	242.475
1559400	243.3
1559300	244.125
1559200	244.95
1559100	245.775
1559000	246.6
1558900	247.425
1558800	248.25
1558700	249.075
1558600	249.9
1558500	250.725
1558400	251.55
1558300	252.375
1558200	253.2
1558100	254.025
1558000	254.85
1557900	255.675
1557800	256.5
1557700	257.325
1557600	258.15
1557500	258.975
1557400	259.8
1557300	260.625
1557200	261.45
1557100	262.275
1557000	263.1
1556900	263.925
1556800	264.75
1556700	265.575
1556600	266.4
1556500	267.225
1556400	268.05
1556300	268.875
1556200	269.7
1556100	270.525
1556000	271.35
1555900	272.175
1555800	273
