Depth,Ice Above(km),drho 5(Mpa),drho 11(Mpa),drho23(Mpa),drho 46(Mpa)
1520.8,0,0,0,0,0
1521.8,1,1.1895,1.1817,1.1661,1.1362
1522.8,2,2.379,2.3634,2.3322,2.2724
1523.8,3,3.5685,3.5451,3.4983,3.4086
1524.8,4,4.758,4.7268,4.6644,4.5448
1525.8,5,5.9475,5.9085,5.8305,5.681
1526.8,6,7.137,7.0902,6.9966,6.8172
1527.8,7,8.3265,8.2719,8.1627,7.9534
1528.8,8,9.516,9.4536,9.3288,9.0896
1529.8,9,10.7055,10.6353,10.4949,10.2258
1530.8,10,11.895,11.817,11.661,11.362
1531.8,11,13.0845,12.9987,12.8271,12.4982
1532.8,12,14.274,14.1804,13.9932,13.6344
1533.8,13,15.4635,15.3621,15.1593,14.7706
1534.8,14,16.653,16.5438,16.3254,15.9068
1535.8,15,17.8425,17.7255,17.4915,17.043
1536.8,16,19.032,18.9072,18.6576,18.1792
1537.8,17,20.2215,20.0889,19.8237,19.3154
1538.8,18,21.411,21.2706,20.9898,20.4516
1539.8,19,22.6005,22.4523,22.1559,21.5878
1540.8,20,23.79,23.634,23.322,22.724
1541.8,21,24.9795,24.8157,24.4881,23.8602
1542.8,22,26.169,25.9974,25.6542,24.9964
1543.8,23,27.3585,27.1791,26.8203,26.1326
1544.8,24,28.548,28.3608,27.9864,27.2688
1545.8,25,29.7375,29.5425,29.1525,28.405
1546.8,26,30.927,30.7242,30.3186,29.5412
1547.8,27,32.1165,31.9059,31.4847,30.6774
1548.8,28,33.306,33.0876,32.6508,31.8136
1549.8,29,34.4955,34.2693,33.8169,32.9498
1550.8,30,35.685,35.451,34.983,34.086
1551.8,31,36.8745,36.6327,36.1491,35.2222
1552.8,32,38.064,37.8144,37.3152,36.3584
1553.8,33,39.2535,38.9961,38.4813,37.4946
1554.8,34,40.443,40.1778,39.6474,38.6308
1555.8,35,41.6325,41.3595,40.8135,39.767
1556.8,36,42.822,42.5412,41.9796,40.9032
1557.8,37,44.0115,43.7229,43.1457,42.0394
1558.8,38,45.201,44.9046,44.3118,43.1756
1559.8,39,46.3905,46.0863,45.4779,44.3118
1560.8,40,47.58,47.268,46.644,45.448
